description,ingredients,instructions,name,calories,carbs,protein,fat
"Pizza is a true ‘guy food’, and is the subject of constant pining and yearning by those who have given it up for the sake of their waistline. But you don’t have to go pizza-free any longer! Make yourself one of these guilt-free pies and you can  have your pizza and eat it too.  Our pizza combines the Italian affinity for flatbread topped with tomatoes and cheese together with the Polynesian culinary harmony of roasted pork and pineapples, all within our muscle- minded paradigm of high-protein, nutritious meals. So go ahead and enjoy a slice of some of the most delicious health food you've  ever eaten.","['Crust:', '1/2 cup whole wheat flour', '1 cup wheat bran', '1/4 tsp baking powder', '1/4 tsp salt', '1/2 cup water', 'Pie:', '1 cup tomato sauce, spiced with garlic, oregano and basil', '1.5 cups cottage cheese', 'lege', '8 oz. turkey ham, chopped', '1 small can (6 oz.) pineapple chunks, drained', '1 medium bell pepper, chopped', '3/4 cup reduced fat mozzarella cheese']","Mix the crust ingredients together in a large bowl, then spread into a 9x12-inch pan, spreading the crust 1-inch up the side of the pan. Bake the crust by itself for 5 minutes in an oven at 425-degrees F.  Blend the cottage cheese and egg together in a food processor or blender until the mixture is smooth. Add the ingredients to the pre-baked crust in the following order: tomato sauce, cottage cheese/ egg, mozzarella, turkey ham, pineapple chunks,  green pepper.  Bake for 20-25 minutes at 425-degrees F, broiling for the last 5 minutes.",HAWAIIAN PIZZA,1500,138,162,0
"Enjoying French cuisine has never been healthier with this quiche, loaded with lean protein, fresh asparagus, fiber, and healthy fats from flax and almonds.","['Crust:', '3/4 cup flax meal', '1/2 cup almond meal', '1 egg white', 'Dash of salt', 'Pie:', '12 oz. turkey ham, cut into 1/2-inch cubes', '1 bunch asparagus (ca.', '20 spears), chopped into', '1/2 inch pieces.', '2 whole omega-3 eggs +', '3 egg whites', '6 tablespoons lowfat sour cream', '1/2 cup shredded cheddar cheese', '1/8 tsp ground nutmeg Salt and pepper to taste.']","In a large bowl, mix together the crust ingredients thoroughly, then flatten into the bottom of a pie pan coated with olive oil cooking spray. Place asparagus in a steamer over 1 inch of boiling water, and cover. Cook until tender but still firm, about 2 to 6 minutes. Drain and cool. Sprinkle turkey ham and chopped asparagus into pie shell. In a bowl, beat together eggs, nutmeg, salt and pepper. Sprinkle cheese over turkey and asparagus. Pour egg mixture on top of cheese. Bake uncovered at 400 degrees F in preheated oven until firm, about 35 to 40 minutes. Let cool to room temperature before serving.",ASPARAGUS QUICHE,487,14,45,28
"Ground turkey breast is a great addition to any menu, but it is not the most palatable of ground meats. Many people new to ground turkey are disappointed when they try to use it just like ground beef. Simply forming ground turkey into a patty and grilling it makes a rubbery, tasteless burger. Fortunately, we've found a way to make a juicy turkey burger with an incredible taste, all served in a nice little protein-filled package. This dish can be complemented with a nice big pile of steamed spinach, or it can also be served with a large dose of carbohydrates if you want a good post- exercise meal.","['1 lb ground turkey breast', '5 mushrooms, finely chopped', '/2 small onion, finely chopped', '/2 apple, finely chopped', '/2 tbsp butter, coconut oil, or Smart Balance spread', 'tsp lemon juice', 'omega-3 egg', '', '/2 tsp salt', 'Garlic powder and pepper, to taste']","Fry onions until brown (5-10 minutes). Add apples and mushrooms and stir-fry for an additional 4 minutes. Place all of the ingredients into a large bowl and mix thoroughly. Form into 2 large patties and broil 4 inches from heat, 6 minutes on each side. The burgers are done with juices run clear after being pierced with a fork.",APPLE MUSHROOM TURKEY BURGERS,734,0,116,0
"Here is another great way to enjoy ground turkey. These meatballs are very quick and easy, and they provide a considerable amount of fiber and omega-  3 fatty acids from milled flax seeds.","['1 lb. ground turkey breast', '1/2 cup ground flax seeds', '1/4 cup wheat bran', '1/2 small onion, chopped fine', '4 cloves garlic, chopped', '1 omega-3 egg plus', '2 regular egg whites, beaten', 'Salt and pepper, to taste']","Mix everything together in a large bowl, then separate into 2-inch meatballs and placed on a cookie sheet coated with olive oil cooking spray. Bake at 375-degrees F for 30 minutes, or until a toothpick inserted comes out clean.",TURKEY MEATBALLS,834,51,96,30
"Yams are a great source of carbohydrates for the post exercise hours. Thankfully, they can be quickly nuked and stuffed with pre-made ingredients. This is a gourmet meal that can be quickly prepared at school or the workplace, after your grueling morning workout.","['1 lb. ground turkey breast (97-98% lean)', '3 medium tomatoes', '2 medium yellow or white onions', '8 cloves garlic', '1 large green pepper', '1 omega-3 egg, beaten', '1 medium yam', 'Dried oregano and basil, dash of each', 'Salt & pepper, to taste']","To make the marinara sauce, chop the tomatoes and place them in a nonstick pan over medium-low heat. Mix in 4 cloves chopped garlic & 1 chopped onion, and sliced green pepper. Stew with a lid after stirring in a dash of salt, some oregano & basil.  To make the meatballs, mix these together in a large bowl: ground turkey, 4 chopped garlic cloves, 1 chopped onion, beaten egg, and a dash of salt and pepper. Form into 2-inch meatballs and place on a cookie sheet, and bake for 15-20 minutes at 400 degrees F. They're done when you can poke them with a toothpick and the juice that comes out is clear, rather than cloudy.  The meatballs and marinara can be mixed together and refrigerated in a covered container until you're ready for the meal.  To bake the yam, poke some holes in it with a fork or knife and nuke for about 6 minutes, until a fork can be easily inserted into the center. Cut the baked yam down the center and mash the interior with a fork. Stuff it with the meatballs and marinara. Heat everything in the microwave until warm.",BAKED YAM WITH TURKEY MEATBALL MARINARA,1106,128,128,8
"Falafel is the hamburger of the Levant. Like our burgers, most falafel stands have turned something healthy into a handheld heart attack. Granted, falafel sandwiches typically have a lot more veggies and fiber than a burger. But the deep fried part of falafel is the real gut-buster. Our version avoids the deep fryer, and brings the  goodness of chickpeas to your plate, while staying true to the spirit of Levantine flavor. Oh yeah, we added a whole heap-o protein.","['1.5 servings of falafel mix (about 0.65 cups dry)', '8 oz grilled chicken breast', '1/2 serving hummus (see recipe in “Side Dishes” section)', '1 medium cucumber, chopped', '1 tomato, chopped', '2 tbsp lemon juice', 'Salt & pepper, to taste']","Soak the falafel mix in water as directed, and form a few 1” balls from the dough. Fry in a non-stick pan coated with olive oil cooking spray. Flatten the falafel balls a little in the pan and flip them repeatedly. It also helps to lower the heat and put a lid on the pan to cook them thoroughly.  Cut the chicken in cubes, adding some salt and pepper when grilling or reheating.  Chop the cucumber and tomato in small pieces and mix together with the lemon juice, salt, and pepper.  Serve in separate portions on a large plate",FALAFEL PLATTER,805,70,90,17
"This protein-rich meal can be used to appease any significant other who often grumbles about your eating habits. It's simple, delicious, full of micronutrients, and suitable for a candlelit dinner.","['1 Ib raw sea scallops', '2 pkgs frozen spinach (20 oz. total)', '1 pkg (6 02) sliced mushrooms', '2 large carrots, sliced', '4 tbsp diced shallots (or substitute with 8 chopped green onions)', '8 tbsp plain yogurt (whole)', '2 tbsp lemon juice', '3 cloves diced garlic', '1-inch cube ginger root, diced', 'Pinch of saffron (or a small dash of turmeric)', 'Salt and pepper, to taste']","Defrost the spinach in the microwave in a large bowl. Sauté mushrooms, garlic, shallots, and ginger in a skillet with olive oil cooking spray for about 2 minutes. Add scallops and continue cooking 2 to 3 minutes just until flesh is opaque. Add the spinach and bring mixture to a boil. Stir in yogurt 1 tbsp at a time. Add carrots, salt, pepper, dill weed, lemon juice, saffron, and simmer for 15-20 minutes, uncovered, stirring frequently. Some of the liquid should boil off, but if the mixture starts becoming dry, cover the skillet with a lid for the remainder of the cooking time.",SEARED SEA SCALLOPS IN A SPINACH CREAM SAUCE,826,80,112,0
"Pecan meal and olive oil create an aromatic crust for a salmon fillet, and serve to complement the long chain fatty-acids in the fish with a healthy dose of monounsaturated fat. This meal provides an excellent way to finish your day with protein and very healthy fats. Steamed spinach completes this meal and provides a plethora of vitamins and micronutrients from  one of the healthiest vegetable choices available.","['10 oz salmon fillet (8 oz cooked)', '2 tbsp pecan meal', '2 big handfuls raw spinach (about', '20 mature leafs)', '1 tsp olive oil', '1 tsp butter, coconut oil, or Smart Balance spread', 'Salt & pepper, to taste']","To make the pecan meal, process whole pecans or pieces in a blender on low 1 cup at a time. The pecan meal should be stored in an airtight container in the refrigerator.  Mix 2 tbsp pecan meal and 1 tsp olive oil in a small bowl, then coat the top of the salmon fillet. Add salt and fresh ground pepper. You can either de-skin the salmon before cooking, or place the salmon skin-side down on a cooking tray covered with aluminum foil. After cooking, the skin will stick to the foil and you can peel the fillet right off.  Cook the salmon in an oven at 400-degrees F for 12 minutes, broiling for the last 6 minutes.  While the salmon is cooking, steam the spinach in a pot with a tight-fitting lid in 1-inch of boiling water.",PECAN-CRUSTED SALMON,680,9,57,47
"Sesame seeds form a magnificent crust for a salmon fillet, adding both texture and a nutty flavor accentuated with peanut oil. Sesame seeds are small enough to stick to the salmon without using flour, and form a crisp golden coating together with chopped ginger when the salmon is pan fried. Bell peppers and onions provide a nice side dish for the salmon, after releasing their juices in a small amount of olive oil.","['Salmon Ingredients:', '1 Ib salmon fillets, de-skinned', '1/4 cup sesame seeds', '1 tbsp peanut oil', '1 inch square fresh ginger, chopped', '1/8 tsp cayenne pepper', 'Sautéed Pepper Ingredients:', '1 small onion, sliced', '2 cloves garlic, sliced thin', '2 bell peppers, sliced into 1/4-inch strips', '1/4 cup fresh chopped basil', '1 tbsp olive oil']","Season the salmon fillets on both sides with the salt and cayenne. Spread the sesame seeds onto a dinner plate, and then press the fillets into the sesame seeds, turning them once. Coat the salmon fillets completely, and gently shake off the excess seeds.  Heat the peanut oil in a large skillet over medium- high heat, and stir-fry the ginger for a couple of minutes until slightly browned. Sear the fillets in the pan until the crust is golden, about 2.5 minutes on each side.  To make the sautéed peppers, heat the olive oil in a large skillet over medium-high heat, add onions and garlic, stirring frequently for about 5 minutes, until onions start to brown. Add the peppers and salt, and stir-fry for an additional minute or two. Cover, reduce the heat to medium-low, and cook for 5 minutes, stirring occasionally, until the peppers start to soften. Remove the lid and stir in the basil and pepper. Serve on the side with the sesame- crusted salmon.",SESAME-CRUSTED SALMON WITH SAUTEED PEPPERS,0,16,50,47
"There are undoubtedly certain sauces that make an incredible entrée when served with a food such as salmon (which is even delicious alone). A variety of cream sauces can be found in salmon dishes across the globe, but most of these use heavy cream. Our recipe uses the much healthier source of yogurt for a cream sauce that combines various ingredients together into a full- flavored harmony that will send your taste buds reeling.","['1 Ib salmon fillets, cut into 2 pieces and de-skinned', '3/4 cup fresh chopped basil', '1/8 cup fresh chopped parsley', '2-3 shallots, chopped', '1/2 cup whole plain yogurt', '1/3 cup white cooking wine', 'Juice from 1 large fresh lemon', '2 cloves garlic, minced', '1 tbsp olive oil', '1/8 tsp salt']","Sear the salmon in a skillet on medium-high heat for 3 minutes on each side. The middle of the fillets may not be entirely cooked after this period, which is fine because the salmon will continue to cook after it is removed from the skillet.  Sauté the shallots and garlic in the same skillet on low-medium heat for about 5 minutes, until they are golden brown. Increase the heat to medium-high, and then add the wine, basil, parsley, lemon juice, and salt, bringing to a boil. Stir the yogurt into the mixture slowly, 1 or 2 tablespoons at a time.  Reduce the sauce to about half of its original state, then add the salmon fillets to reheat. Serve with the sauce spooned over the salmon.",SALMON IN A BASIL CREAM SAUCE,1256,24,108,74
"The next time you set out to barbecue, don’t overlook seafood in lieu of more traditional beef or chicken. Salmon is great on the grill, given its meatier composition, compared to most fish. This recipe combines the powerful fragrance and flavor of rosemary with the great properties of salmon. Asparagus completes this dish, which is surprisingly easy to make.","['1 Ib salmon fillets cut into 2 pieces', '20 large asparagus, trimmed', '2 tbsp fresh rosemary leaves', '1 tbsp olive oil', '3 cloves garlic, chopped', '2 tbsp fresh lemon juice', 'Salt and fresh ground pepper, to taste']","Leaving the skin on the salmon, place skin side down on a piece of dry aluminum foil. Be sure the aluminum foil is cut large enough to wrap entirely around the salmon fillets.  Coat the fillets with lemon juice, olive oil, garlic, rosemary, salt & pepper, in that order. Enclose the salmon in the foil, leaving a small breathing hole at the top about 1-inch in diameter. Place this package on an outside grill on medium-high heat. Close the grill and cook for 10-15 minutes. Depending on how close you live to a coast and the freshness of the fish, you can choose whether you want to go for the best taste, which involves leaving the center slightly pink, or whether you choose the safest route of longer cooking for a white, flaky flesh through and through.  The asparagus should be grilled separately, beginning about 5 minutes into the cooking of the fish. Coat the asparagus with olive oil, then place on the grill lengthwise so they don’t slip through the grate. Every other minute or so, roll the asparagus so that one side does not burn. It does not take long for this to happen, so stay with the asparagus. When the asparagus is toasted brown, lightly salt and remove from the heat.  When the fish is finished cooking, you can remove it easily from the skin, which will stick to the foil. Just slip a spatula between the flesh and skin and slide",ROSEMARY SALMON AND ASPARAGUS ON THE GRILL,1066,24,100,64
"To make an incredibly tender and moist bass fillet, it can be slow roasted at low heat in the oven. White wine, garlic, and black olives complement striped bass without overshadowing it. It is served on a bed of sautéed artichokes and asparagus.","['Fish Roasting Ingredients:', '1.5 lb striped bass fillets, with skin', '2 cloves garlic, sliced thin', '4 tbsp sliced olives (preferably Greek)', '1.5 tbsp dry white wine', '1 tsp olive oil Salt and pepper, to taste', 'Vegetable Bed Ingredients:', '1 lemon, halved', '1 14-ounce can (or 1 box frozen) artichoke hearts, drained', '1 lb asparagus, trimmed and cut into 2-inch lengths', '1/3 cup fresh parsley', '1 tbsp olive oil', 'Salt & pepper, to taste']","Lightly brush 1 tsp olive oil onto the bottom of a glass baking dish just big enough to accommodate the fish fillets. Scatter the sliced garlic into the baking dish, and then arrange the fillets skin side down. Top the fillets with sliced olives; drizzle with white wine. Sprinkle with salt and freshly ground pepper.  Bake the fish at 225-degrees F for 15 to 20 minutes, until the flesh separates easily from the skin and a kitchen  fork slides with no resistance into the thickest part of the fillet.  Prepare the vegetable bed while the bass is cooking. Combine the olive oil and garlic in a large skillet over medium-high heat. After soaking the canned artichoke hearts for a while in cold water to remove the brine taste (this is unnecessary if they are frozen), drain them and add them to the skillet. Stir-fry for about 4 minutes until chokes start to brown, and then add asparagus and 1/4 cup water. Cover, and cook for 2-4 minutes, tossing the vegetables occasionally. Remove the lid and allow the remaining water to steam away, and then add the fresh parsley, salt, and pepper. Separate onto two plates, squeeze the fresh lemon juice over the top, and serve as a bed for the striped bass fillets.",STRIPED BASS WITH ARTICHOKES AND ASPARAGUS,528,22,68,20
"Sea scallops provide a large dose of protein with very little fat. For this meal, we have used almonds and olive oil to supplement healthy monounsaturated fatty acids. This dish is a real crowd-pleaser, and suitable for a candlelit dinner with a fine wine.","['Almond-Crusted Sea Scallops Ingredients:', '1.5 lb sea scallops, rinsed and patted dry', '1/2 cup almonds, ground into meal in a blender', '1/2 tsp salt', '1/4 tsp cayenne pepper', '1 tbsp olive oil', 'Tomato-Onion Gratin Ingredients:', '1 medium onion (preferably Vidalia), sliced', '2 medium tomatoes, cut into 1/4-inch thick wedges', '1/3 cup grated Parmesan cheese', '2 garlic cloves, chopped', '2 tsp olive oil', '1/4 cup fresh cilantro, coarsely chopped', 'Salt & pepper, to taste']","In a large bowl, toss the onions, tomatoes, olive oil, garlic, and salt & pepper. Spread out evenly in an 8x8-inch baking dish coated with olive oil cooking spray. Bake for 25 minutes at 450-degrees F.  While the tomato-onion gratin is baking, process the almonds in a blender until ground into a course meal, and then spread onto a dinner plate. Sprinkle the scallops with salt and cayenne, and then press them into the almond meal. Roll the scallops around until almond meal adheres to all sides, and then shake off the excess.  Heat some of the olive oil in a large skillet over medium-high heat, and add only enough scallops to coat the bottom of the pan in a single layer. Sear the scallops about 2 minutes on each side until they are browned and crisp. Transfer the browned scallops to a plate and sear the remaining scallops in the same manner, adding oil as needed.  Arrange the scallops on top of the tomato-onion gratin and garnish with cilantro.",ALMOND-CRUSTED SEA SCALLOPS WITH TOMATO-ONION GRATIN (ANYTIME,1434,46,146,74
"Canned tuna no longer needs to be eaten out of the can most unceremoniously. You can turn those plain old cans of tuna into a delicious meal by adding just a few ingredients. Flax meal and omega-3 eggs form a nice matrix for these burgers, and add precious omega-3 fatty acids, bound within a flavorful zest from the remaining ingredients. This dish can be served with grilled peppers and tomatoes or a toasted quinoa salad (both recipes are presented in our side dishes section).","['3 cans chunk light tuna in water, drained (14 oz drained)', '1/4 cup flax meal', '4 scallions (green onions), minced', '2 tbsp black mustard seeds', '2 omega-3 eggs, beaten', '1 tablespoon finely minced fresh cilantro', '2 cloves garlic, chopped', '1 tsp soy sauce Salt & pepper, to taste', '2 tsp olive oil']","Combine all of the ingredients except the olive oil in a large bowl. Form into two large patties. Pan fry the tuna burgers in a skillet with the olive oil over medium heat, for about 6 minutes on each side, until both sides are browned and the burgers cooked throughout.",TUNA BURGERS,950,28,126,36
"Canned salmon is a good option for the frugal among us, but it takes some creativity and preparation to  make it palatable. Unless you're training for a slot on Fear Factor, you probably don’t like the idea of eating the slimy, bony pieces that come straight from the can. Most salmon burger recipes commonly available produce a dry, tasteless meal. So we've tweaked some ingredients to make it taste better with the healthiest ingredients, and added a mushroom sauce to make this a mouth- watering delicacy.","['Salmon Burgers:', '1 large can (14.75 02.) salmon', '1/4 cup flax meal', '1/4 cup oat bran', '1 omega-3 egg, beaten', '1/2 small onion, diced', '1 tbsp lemon juice', '1/8 tsp turmeric', 'Salt & pepper, to taste Stroganoff Sauce:', '2 cups sliced mushrooms', '3 cloves garlic', '5 tbsp plain whole yogurt', '1 chicken bouillon cube', '1/4 cup water']","Drain the salmon, except for 1 tbsp of the juice, and put into a large bowl. Remove the larger bones (vertebrae). Add the flax meal, oat bran, diced onion, egg, turmeric, salt, and pepper, and mix together thoroughly. Shape and flatten into 2 large patties. Cook the patties in a skillet sprayed with olive oil cooking spray on medium heat for 8-10 minutes on each side.  To make the stroganoff sauce, brown the garlic and mushrooms in 1 tbsp butter or SmartBalance spread for 6-8 minutes, then add the water and bouillon cube, bringing to a light boil. Stir in the yogurt one tablespoon at a time, until achieving a smooth, creamy texture.  Top the salmon burgers with the stroganoff sauce just before serving.",SALMON BURGER STROGANOFF,1028,42,106,52
"Zucchini and tomatoes are both sweet vegetables that when cooked together really sing, particularly in the presence of ground beef seared in a pan. This is a quick way to make use of a pound of lean ground beef and the vegetables laying around in your fridge’s crisper.","['1 Ib 96% lean ground beef', '1 large zucchini, sliced', '1 large tomato, chopped', '1/2 medium onion, chopped', '3 cloves garlic, chopped', '2 tbsp fresh chopped basil', '1 tbsp olive oil', 'Salt & pepper, to taste']","Add a little of the olive oil cooking spray to a nonstick pan over medium-high heat, and then brown the ground beef for about 3 minutes. Add the zucchini, garlic, and onions and stir-fry for another 8-10 minutes, until vegetables are browned. Add tomato and cook until chunks begin to dissolve, about 3-4 minutes. Stir in the basil, olive oil, and spices and serve.",SEARED GROUND BEEF WITH ZUCCHINI AND TOMATOES (ANYTIME,1062,24,146,40
"As long as you are using extra lean ground beef (96% lean), the addition of a peanut sauce and chili powder provides a powerful taste combination that compliments the bold flavor of beef. Cabbage adds a nice textural component, and the green peppers complete the meal.","['1 Ib extra lean (96%) ground beef', '1/3 head cabbage, shredded (about 3 cups)', '1 carrot, sliced', '1 medium green pepper, cut into 1-inch cubes', '1 small onion, cut into', '1-inch cubes', '2 tbsp peanut sauce', 'Salt, pepper, and chili powder, to taste']","Fry the ground beef in a large nonstick skillet coated with olive oil cooking spray over medium-high heat for about 5 minutes, until browned. Add the cabbage, carrot, green pepper, and onion and continue cooking for another 5 minutes, stirring frequently. After the vegetables have browned, add the peanut sauce and spices. Serve warm.",THAI GROUND BEEF,1148,36,154,42
"The Indians have mastered the art of combining flavorful spices in colorful, creamy sauces made from a variety of cheese and yogurt. Yogurt is a healthful addition to this dish, providing a creamy base for spinach and spices. When served with sautéed beef, this mouthwatering dish is two steps away from Nirvana.","['1 Ib sirloin, cut into', '1-inch cubes', '10 oz spinach, fresh or frozen', '1 large onion, quartered', '2 1-inch cubes of fresh ginger, peeled', '6 cloves garlic', '1 cup frozen green peas', '1 cup whole plain yogurt', '1 tbsp olive oil', '1/4 cup water', '1 tsp curry powder', '1 tsp garam masala spice powder', 'Salt & pepper, to taste']","Put the onion, ginger, and garlic in a food processor and make a puree or paste. This can also be done in small batches in a blender. Brown this puree in a large skillet on medium-high heat together with the olive oil, about 10 minutes, or until the mixture gets brown and loses some of its moisture. Remove from the skillet, and then add the beef and sauté for a few minutes until brown. Return the onion, garlic, and ginger mixture back to the skillet, add the water, stir, and then begin adding the yogurt 1 tbsp at a time, stirring constantly. Add the curry powder, salt and  pepper.  When the creamy mixture has begun a light boil, begin adding the spinach. Fresh is best, but if you choose frozen, thaw it and drain any liquid before adding. Cover and simmer for about 5 minutes, reducing the spinach. Remove cover and add garam masala just before serving.",SAUTEED BEEF IN AN INDIAN SPINACH SAUCE,1400,60,144,64
"Mushrooms naturally compliment beef, and when a cream sauce is added, the two flavors resonate with a hearty goodness. Typical stroganoff dishes use heavy cream and cheese, dropping a heavy dose of saturated fat and extra calories on unsuspecting masses. Our version uses yogurt for the cream, and just a hint of cheese to complete the taste.","['1 Ib beef sirloin, cut into', '1-inch cubes', '1 large onion, chopped', '3 cups sliced mushrooms', '1 carrot, sliced', '4 cloves garlic, chopped', '1/2 cup beef broth, from bouillon', '1 cup whole plain yogurt', '1/2 cup shredded part skim mozzarella cheese', 'Salt & pepper, to taste']","Brown the beef in a large nonstick skillet coated with olive oil cooking spray over medium-high heat, about 5 minutes. Add the onion, mushrooms, carrot, and garlic, and continue stir-frying for an additional 6-8 minutes, until vegetables start to brown. Add the beef broth, salt, and pepper, bring to a low boil, and then add the yogurt 1 tbsp at a time, stirring constantly. Cover and simmer for 15 minutes on medium-low heat. Remove the lid, add the cheese, and stir until thoroughly blended.",BEEF STROGANOFF,1220,34,142,56
"By coating a steak with spices and pan-searing it, a delicious and satisfying crust is created that provides both flavor and texture. The ginger imparts a slightly floral essence and flavor that is nicely balanced with fresh ground pepper. This flavor combination goes wonderfully with grilled onions and the sweet, tangy flavor of balsamic syrup. To round-off this meal, serve with Mashed Garlic Cauliflower (this recipe is presented in our side dishes section).","['1.25]b sirloin steak', '1 large onion, sliced', '1 cup balsamic vinegar', '1 tsp finely grated fresh ginger', '1 tsp olive oil', '1 tsp butter, coconut oil, or Smart Balance butter spread', 'Salt & pepper, to taste']","To make the balsamic syrup, add one cup of balsamic vinegar to a saucepan, and bring to a boil over medium heat. Boil the vinegar until it has reduced to one quarter of the amount you started with (reduce to 1/4 cup). It will turn into thick, bubbly syrup. Be sure not to overcook, as it can burn easily near the end. If the reduced vinegar becomes too thick when it cools, heat it slowly with 1/2 to 1 tablespoon of water until it is a desirable consistency.  In a large skillet, melt the butter/spread over medium-high heat and add the onions. Sprinkle with salt and toss to coat, and then stir fry for 8-10 minutes, until the onions are nice and browned. The longer the onions are browned, the sweeter they become (without burning of course).  Pat the steaks dry with paper towels, and then rub them lightly with the oil. Massage the salt, ginger, and a generous amount of freshly ground black pepper over the steaks.  Sear the steaks in a heavy nonstick skillet over high heat about 4 minutes on each side for medium-rare, or 5-6 minutes for medium-well. You will know it’s time to turn the steaks when little droplets of blood form on the surface.  Nestle a mound of onions next to the steaks, and then drizzle the balsamic vinegar syrup over everything.",PEPPERED SIRLOIN WITH GRILLED ONIONS AND BALSAMIC SYRUP,1364,28,112,90
"Sometimes you discover a mixture of ingredients that puts a smile of content on your face at your first bite. Elegant and simple, the mixture of feta, olives, and garlic in this recipe, within confines of extra lean ground beef, makes a burger unparalleled in flavor. If that regular old burger is getting stale and uninviting, then kick it up a notch with this Greek- influenced hamburger steak.","['1 Ib extra lean (96%) ground beef', '1/2 cup feta cheese, crumbled', '1/2 cup olive slivers', '3 cloves garlic, chopped', 'Salt & pepper, to taste']","In a large bowl, combine all of the ingredients. Form two large patties with the mixture, and then cook them on a grill or in a large skillet on medium heat for 5-8 minutes on each side. Some good options for side dishes include the Mediterranean salad, grilled peppers and tomatoes, or mashed garlic cauliflower (all presented in our side dishes section of the book).",GREEK BURGER,1200,10,154,58
"When beef and broccoli are combined in a stir fry with plenty of garlic, it provides a tasteful and satisfying dish with copious lean protein and monounsaturated fat from the nutty-flavored peanut oil. There are no bells and whistles in this recipe. It was streamlined for a quick, easy, nutritious meal.","['1 lb London broil, thinly sliced', '2 cups broccoli flower clusters', '1 large carrot, sliced', '1 large onion, coarsely chopped (1-inch squares)', '4 cloves garlic, chopped', '1 tbsp peanut oil', '1 tbsp soy sauce', '1/4 tsp salt']","London broil can be very tough, so if you plan ahead, it’s best to marinade the beef after slicing it. A good marinade for this dish is chopped garlic, a dash of soy sauce, salt, and a little oil. Even an hour of marinating makes a big difference. Stick the meat in the fridge to marinade. Overnight would be even better. If you want to skip the marinade, no worries; just be prepared to work those jaw muscles.  When you're ready to cook, sauté the garlic in the oil for a few seconds in a large skillet or wok, and then add the sliced beef. Stir-fry for a few minutes until the beef is nearly cooked throughout. Add the broccoli, carrot, onion, and salt, and continue stir- frying for an additional 5-6 minutes. Drizzle the soy sauce over the top before serving.",BROCCOLI BEEF STIR FRY,974,24,106,50
"Traditional roast beef hash combines the fattiest cuts of meat with potatoes for an undesirable combination of saturated fats and high- GI carbs. Our version provides a healthy alternative with the same satisfying combination of beef, root vegetables, onions, and herbs that has  made hash such a deliciously comforting dish.","['1 Ib leftover beef roast, bottom round, cut into', '1/2-inch cubes', '1 cup coarsely chopped onions or leeks (white part only)', '2 turnips, peeled and cut into 1/2-inch cubes (about 3 cups)', '1 tbsp plus 1 tsp olive oil', '3 cloves garlic, chopped', '2 tsp minced fresh thyme or rosemary', '1/4 cup fresh parsley, chopped', '3/4 cup water', 'Salt & pepper, to taste']","In a large skillet/wok, heat 1 tbsp olive oil over medium-high heat; sauté the onions until they are tender and golden brown, about 8 minutes. Add the turnips, toss, and then add the water and salt. Cover the pan and cook until the water has evaporated and the vegetables are just tender, about 10 minutes. Uncover and stir-fry the vegetables until well caramelized and browned, about 5 minutes.  While the vegetables are browning, heat 1 tsp olive oil in another skillet, sauté the garlic and minced herbs for a couple of minutes, and then add the diced roast, tossing the pieces just until browned and heated through.  Toss everything together and serve hot.",ROAST BEEF HASH,1286,42,168,48
"Here is a quick way to enjoy Italian cuisine with a healthy dose of protein and whole vegetables, rather than a boatload of fat and starches. A delicious combination of basil, lean ground beef, onions, and eggplant, this recipe is sure to please anyone longing for the rich flavors  of Italy.","['1 Ib extra lean (96%) ground beef', '1/2 large eggplant, cut into 1-inch cubes', '1 large onion, cut into', '1-inch cubes', '1/2 cup fresh chopped basil (about 15 leaves), or 1 tbsp dried basil', '1/2 cup slivered or chopped olives', '2 large tomatoes, chopped', '1/2 small can tomato paste (85 grams)', '2 cloves garlic, chopped', 'Salt & pepper, to taste']","In a large skillet or wok, fry the ground beef, onions, and garlic on medium-high heat until the beef is browned, about 10 minutes. Add the remaining ingredients and stir until you have a thick, smooth texture. Cover and simmer on low-medium heat for and additional 10 minutes.  Side dishes particularly suited for this recipe include grilled peppers and tomatoes, or mashed garlic cauliflower.",MELANZANA RICCHA (EGGPLANT IN A MEAT SAUCE; ANYTIME),1224,62,172,30
"This foolproof recipe combines the harmony of red meat and wine, together with a chemistry of various herbs, spices, and vegetables that is sure to please. The long cooking time ensures tender, juicy chunks of meat.","['1.5 lbs beef round, trimmed to 1/4 inch fat, cut into 2-inch cubes', '2 packages (12 oz) whole white mushrooms', '2 medium onions', '2 medium tomatoes', '10 cloves garlic', '3/4 cup dry red wine', '1/2 cup water', '1 bouillon cube, beef', '2 tbsp olive oil', 'Spices: salt, pepper, ground celery seed, thyme', '1/4 cup fresh parsley, coarsely chopped']","Heat a large nonstick pot on medium heat, coated with a generous amount of olive oil cooking spray (assumed 1/2 tablespoon). Brown minced garlic and coarsely chopped onions in pot, then add beef chunks, stirring until just browned on outside, yet raw on the inside. Add whole mushrooms and stir for about 3 minutes. Add wine, water, bouillon cube, and spices, stirring and bringing to a boil. Reduce heat to low-medium, cover, and simmer for 2 hours. Before serving, stir in the olive oil, and then garnish the meals with fresh parsley in wide, shallow bowls.",BRAISED BEEF WITH WINE AND HERBS,2076,60,261,72
